array_size,threshold,time
2_10, 100, 0.000010
2_10, 200, 0.000002
2_10, 300, 0.000001
2_10, 400, 0.000000
2_10, 500, 0.000001
2_10, 600, 0.000001
2_10, 700, 0.000000
2_10, 800, 0.000000
2_10, 900, 0.000000
2_10, 1000, 0.000001
2_10, 2000, 0.000001
2_10, 3000, 0.000001
2_10, 4000, 0.000001
2_10, 5000, 0.000001
2_10, 6000, 0.000000
2_10, 7000, 0.000001
2_10, 8000, 0.000001
2_10, 9000, 0.000000
2_10, 10000, 0.000000
2_10, 20000, 0.000000
2_10, 30000, 0.000001
2_10, 40000, 0.000001
2_10, 50000, 0.000000
2_10, 60000, 0.000000
2_10, 70000, 0.000001
2_10, 80000, 0.000001
2_10, 90000, 0.000000
2_10, 100000, 0.000000
2_10, 200000, 0.000001
2_10, 300000, 0.000001
2_10, 400000, 0.000000
2_10, 500000, 0.000000
2_10, 600000, 0.000001
2_10, 700000, 0.000001
2_10, 800000, 0.000000
2_10, 900000, 0.000000
2_10, 1000000, 0.000001
2_10, 2000000, 0.000001
2_10, 3000000, 0.000000
2_10, 4000000, 0.000000
2_10, 5000000, 0.000000
2_10, 6000000, 0.000001
2_10, 7000000, 0.000001
2_10, 8000000, 0.000000
2_10, 9000000, 0.000001
2_10, 10000000, 0.000001
2_15, 100, 0.000010
2_15, 200, 0.000007
2_15, 300, 0.000001
2_15, 400, 0.000002
2_15, 500, 0.000002
2_15, 600, 0.000002
2_15, 700, 0.000001
2_15, 800, 0.000001
2_15, 900, 0.000001
2_15, 1000, 0.000002
2_15, 2000, 0.000000
2_15, 3000, 0.000002
2_15, 4000, 0.000001
2_15, 5000, 0.000001
2_15, 6000, 0.000002
2_15, 7000, 0.000000
2_15, 8000, 0.000001
2_15, 9000, 0.000001
2_15, 10000, 0.000000
2_15, 20000, 0.000001
2_15, 30000, 0.000001
2_15, 40000, 0.000001
2_15, 50000, 0.000001
2_15, 60000, 0.000001
2_15, 70000, 0.000002
2_15, 80000, 0.000002
2_15, 90000, 0.000000
2_15, 100000, 0.000002
2_15, 200000, 0.000002
2_15, 300000, 0.000001
2_15, 400000, 0.000003
2_15, 500000, 0.000001
2_15, 600000, 0.000000
2_15, 700000, 0.000002
2_15, 800000, 0.000001
2_15, 900000, 0.000002
2_15, 1000000, 0.000001
2_15, 2000000, 0.000001
2_15, 3000000, 0.000001
2_15, 4000000, 0.000002
2_15, 5000000, 0.000002
2_15, 6000000, 0.000000
2_15, 7000000, 0.000001
2_15, 8000000, 0.000001
2_15, 9000000, 0.000000
2_15, 10000000, 0.000002
2_20, 100, 0.000004
2_20, 200, 0.000002
2_20, 300, 0.000004
2_20, 400, 0.000002
2_20, 500, 0.000004
2_20, 600, 0.000005
2_20, 700, 0.000001
2_20, 800, 0.000003
2_20, 900, 0.000004
2_20, 1000, 0.000000
2_20, 2000, 0.000000
2_20, 3000, 0.000000
2_20, 4000, 0.000001
2_20, 5000, 0.000001
2_20, 6000, 0.000003
2_20, 7000, 0.000003
2_20, 8000, 0.000005
2_20, 9000, 0.000000
2_20, 10000, 0.000010
2_20, 20000, 0.000001
2_20, 30000, 0.000003
2_20, 40000, 0.000001
2_20, 50000, 0.000002
2_20, 60000, 0.000001
2_20, 70000, 0.000002
2_20, 80000, 0.000004
2_20, 90000, 0.000001
2_20, 100000, 0.000001
2_20, 200000, 0.000001
2_20, 300000, 0.000000
2_20, 400000, 0.000004
2_20, 500000, 0.000003
2_20, 600000, 0.000005
2_20, 700000, 0.000003
2_20, 800000, 0.000000
2_20, 900000, 0.000001
2_20, 1000000, 0.000003
2_20, 2000000, 0.000000
2_20, 3000000, 0.000000
2_20, 4000000, 0.000001
2_20, 5000000, 0.000000
2_20, 6000000, 0.000001
2_20, 7000000, 0.000000
2_20, 8000000, 0.000001
2_20, 9000000, 0.000004
2_20, 10000000, 0.000001
2_25, 100, 0.000008
2_25, 200, 0.000003
2_25, 300, 0.000005
2_25, 400, 0.000004
2_25, 500, 0.000011
2_25, 600, 0.000003
2_25, 700, 0.000003
2_25, 800, 0.000003
2_25, 900, 0.000004
2_25, 1000, 0.000007
2_25, 2000, 0.000005
2_25, 3000, 0.000002
2_25, 4000, 0.000007
2_25, 5000, 0.000005
2_25, 6000, 0.000005
2_25, 7000, 0.000004
2_25, 8000, 0.000005
2_25, 9000, 0.000003
2_25, 10000, 0.000006
2_25, 20000, 0.000002
2_25, 30000, 0.000005
2_25, 40000, 0.000004
2_25, 50000, 0.000007
2_25, 60000, 0.000004
2_25, 70000, 0.000003
2_25, 80000, 0.000005
2_25, 90000, 0.000006
2_25, 100000, 0.000006
2_25, 200000, 0.000004
2_25, 300000, 0.000004
2_25, 400000, 0.000007
2_25, 500000, 0.000003
2_25, 600000, 0.000006
2_25, 700000, 0.000004
2_25, 800000, 0.000005
2_25, 900000, 0.000003
2_25, 1000000, 0.000003
2_25, 2000000, 0.000003
2_25, 3000000, 0.000004
2_25, 4000000, 0.000003
2_25, 5000000, 0.000004
2_25, 6000000, 0.000004
2_25, 7000000, 0.000005
2_25, 8000000, 0.000005
2_25, 9000000, 0.000007
2_25, 10000000, 0.000007
2_30, 100, 0.000003
2_30, 200, 0.000005
2_30, 300, 0.000008
2_30, 400, 0.000005
2_30, 500, 0.000005
2_30, 600, 0.000006
2_30, 700, 0.000005
2_30, 800, 0.000005
2_30, 900, 0.000007
2_30, 1000, 0.000004
2_30, 2000, 0.000007
2_30, 3000, 0.000003
2_30, 4000, 0.000007
2_30, 5000, 0.000004
2_30, 6000, 0.000008
2_30, 7000, 0.000003
2_30, 8000, 0.000004
2_30, 9000, 0.000003
2_30, 10000, 0.000007
2_30, 20000, 0.000004
2_30, 30000, 0.000004
2_30, 40000, 0.000004
2_30, 50000, 0.000005
2_30, 60000, 0.000004
2_30, 70000, 0.000007
2_30, 80000, 0.000007
2_30, 90000, 0.000006
2_30, 100000, 0.000005
2_30, 200000, 0.000004
2_30, 300000, 0.000007
2_30, 400000, 0.000005
2_30, 500000, 0.000005
2_30, 600000, 0.000003
2_30, 700000, 0.000005
2_30, 800000, 0.000005
2_30, 900000, 0.000006
2_30, 1000000, 0.000006
2_30, 2000000, 0.000003
2_30, 3000000, 0.000004
2_30, 4000000, 0.000004
2_30, 5000000, 0.000004
2_30, 6000000, 0.000004
2_30, 7000000, 0.000005
2_30, 8000000, 0.000003
2_30, 9000000, 0.000003
2_30, 10000000, 0.000006